TBK_t1,TBK_t2,TBK_t3
7.455,7.455,7.455
5.32,5.47,5.395
5.47,5.395,5.395
5.395,5.395,5.395
5.395,5.395,5.395
5.395,5.395,5.395
7.46,7.2,7.33
7.2,7.33,7.33
7.33,7.33,7.33
7.33,7.33,7.33
7.33,7.33,7.33
5.49,5.5,5.495
5.5,5.495,5.495
5.495,5.495,5.495
5.495,5.495,5.495
5.495,5.495,5.495
8.58,7.7,8.14
7.7,8.14,8.14
8.14,8.14,8.14
8.14,8.14,8.14
8.14,8.14,8.14
6.11,5.93,6.02
5.93,6.02,6.02
6.02,6.02,6.02
6.02,6.02,6.02
6.02,6.02,6.02
5.23,3.47,4.3500000000000005
3.47,4.3500000000000005,4.3500000000000005
4.3500000000000005,4.3500000000000005,4.3500000000000005
4.3500000000000005,4.3500000000000005,4.3500000000000005
4.3500000000000005,4.3500000000000005,4.3500000000000005
4.64,5.33,4.984999999999999
5.33,4.984999999999999,4.984999999999999
4.984999999999999,4.984999999999999,4.984999999999999
4.984999999999999,4.984999999999999,4.984999999999999
4.984999999999999,4.984999999999999,4.984999999999999
6.81,6.2,6.505
6.2,6.505,6.505
6.505,6.505,6.505
6.505,6.505,6.505
6.505,6.505,6.505
6.92,6.43,6.675
6.43,6.675,6.675
6.675,6.675,6.675
6.675,6.675,6.675
6.675,6.675,6.675
7.46,7.53,7.495
7.53,7.495,7.495
7.495,7.495,7.495
7.495,7.495,7.495
7.495,7.495,7.495
3.76,0.0,1.88
0.0,1.88,1.88
1.88,1.88,1.88
1.88,1.88,1.88
1.88,1.88,1.88
6.01,5.17,5.59
5.17,5.59,5.59
5.59,5.59,5.59
5.59,5.59,5.59
5.59,5.59,5.59
6.29,6.63,6.46
6.63,6.46,6.46
6.46,6.46,6.46
6.46,6.46,6.46
6.46,6.46,6.46
7.01,6.07,6.54
6.07,6.54,6.54
6.54,6.54,6.54
6.54,6.54,6.54
6.54,6.54,6.54
5.24,6.07,5.655
6.07,5.655,5.655
5.655,5.655,5.655
5.655,5.655,5.655
5.655,5.655,5.655
6.69,5.7,6.195
5.7,6.195,6.195
6.195,6.195,6.195
6.195,6.195,6.195
6.195,6.195,6.195
7.42,6.13,6.775
6.13,6.775,6.775
6.775,6.775,6.775
6.775,6.775,6.775
6.775,6.775,6.775
